cas_number,name,english_name,brand,specification,initial_quantity,unit,quantity,price,order_reason,applicant,order_time
75-77-4,三甲基氯硅烷, Chlorotrimethylsilane,阿拉丁,100mL,100,mL,1,199.8,running_out,zhangcaifang,
620-08-6,4-甲氧基吡啶,4-Methoxypyridine,毕得,   10g,10,g,1,198.9,running_out,gengshihan,
34654-81-4,"6-((3-氯丙基)氨基)-1,3-二甲基尿嘧啶","6-((3-Chloropropyl)amino)-1,3-dimethylpyrimidine-2,4(1H,3H)-dione",毕得,5g,5,g,1,198,not_stocked,admin,
7447-41-8,,,,,,,1,197.1,running_out,admin,
79-00-5,"1,1,2-三氯乙烷"," 1,1,2-Trichloroethane",通广,500ml,500,mL,1,196,running_out,chenlei,
15366-34-4,3-吡唑羧酸甲酯, Methyl 1H-pyrazole-3-carboxylate,毕得医药,2g,2,g,1,195,running_out,xuyue,
63517-29-3,(二乙氨基)二氟锍鎓四氟硼酸盐,"	(diethylamino)difluoroindole tetrafluoroborate",Accela,5 g,5,g,1,195,not_stocked,chengzengrui,
63-91-2,,,,,,,1,192.75,not_stocked,admin,
73183-34-3,"4,4,4',4',5,5,5',5'-八甲基-2,2'-bi(1,3,2-二氧杂硼烷)","4,4,4',4',5,5,5',5'-Octamethyl-2,2'-bi(1,3,2-dioxaborolane)",,25g,25,g,1,192.75,running_out,zhangcaifang,
6674-22-2,"1,8-二氮杂双环[5.4.0]十一碳-7-烯","
1,8-Diazabicyclo[5.4.0]undec-7-ene, 98%,",Amethyst,25G,25,g,1,192,degraded,tanhui,
4208-49-5,2-呋喃羧酸烯丙酯, Allyl furan-2-carboxylate,毕得,1g,1,g,1,192,not_stocked,admin,
,2-乙基-3-羟基-4H-吡喃-4-酮, 2-Ethyl-3-hydroxy-4H-pyran-4-one,毕得,25g,25,g,1,189.75,not_stocked,zhanghongliang,
174500-20-0,"2,6-双[(4S)-苯基-2-(恶唑啉-2-基)]吡啶","2,6-Bis[(4S)-phenyl-2-oxazolin-2-yl]pyridine",毕得,250 mg,250,mg,1,188.25,not_stocked,chengzengrui,
696-57-1,4-烯丙基吗啉,N-allylmorpholine,毕得,1g,1,g,1,187.2,not_stocked,admin,
61717-82-6,"1-羟基-1,2-苯并碘酰-3(1H)-酮 1-氧化物(异构体混合物)","1-Hydroxy-1,2-benziodoxol-3(1H)-one 1-oxide (mixture of isomers)",毕得医药,25 g,25,g,1,186,running_out,tanhui,
5291-77-0,N-苄基-2-吡咯烷酮 ,1-Benzylpyrrolidin-2-one,毕得,5g,5,g,1,185.6,not_stocked,zhuminghui,
93-35-6,7-羟基香豆素,7-Hydroxycoumarin,Solarbio索莱宝,20 mg,20,mg,1,185,not_stocked,zhangcaifang,
75-89-8,"2,2,2-三氟乙醇(TFEA) ","2,2,2-Trifluoroethanol","
阿拉丁",100 g,100,g,1,184.5,running_out,chenlei,
2814-20-2,2-异丙基-6-甲基-4-羟基嘧啶,2-Isopropyl-6-methylpyrimidin-4-ol,毕得,25g,25,g,1,184.5,not_stocked,zhanghongliang,
71-55-6,"1,1,1-三氯乙烷 ",,北京益利,500ml,500,mL,1,183,not_stocked,chenlei,
1111-78-0,氨基甲酸铵,Ammonium Carbamate,百灵威,50g,50,g,1,179.25,running_out,qiuxu,
615-18-9,2-氯苯并噁唑,2-Chlorobenzoxazole,毕得,10g,10,g,1,178.5,not_stocked,lvbin,
623-73-4,重氮乙酸乙酯,Ethyl diazoacetate,Amethyst,5g,5,g,1,178,not_found,huotongyu,
10294-34-5,三氯化硼,Boron trichloride,百灵威J&K,25mL,25,mL,1,177.75,not_stocked,zhaobinzhi,
142-71-2,无水醋酸铜, Cupric acetate anhydrous,innochem,25g,25,g,1,177,running_out,chenlei,
2018-66-8,N-苄氧羰基-L-亮氨酸,N-Cbz-L-Leucine,毕得医药,10g,10,g,1,176.25,running_out,xuguofeng,
534-16-7,碳酸银,Silver carbonate,毕得,5g,5,g,1,176,running_out,xuguofeng,
